minCarat,maxCarat,color,clarity,factor
0.01,0.03,D-F,IF-VVS,8.3
0.01,0.03,G-H,IF-VVS,7.1
0.01,0.03,I-J,IF-VVS,6.1
0.01,0.03,K-L,IF-VVS,4.4
0.01,0.03,M-N,IF-VVS,2.9
0.01,0.03,D-F,VS,7.3
0.01,0.03,G-H,VS,6.4
0.01,0.03,I-J,VS,5.5
0.01,0.03,K-L,VS,3.9
0.01,0.03,M-N,VS,2.6
0.01,0.03,D-F,SI1,6.4
0.01,0.03,G-H,SI1,5.7
0.01,0.03,I-J,SI1,4.9
0.01,0.03,K-L,SI1,3.4
0.01,0.03,M-N,SI1,2.3
0.01,0.03,D-F,SI2,5.6
0.01,0.03,G-H,SI2,5
0.01,0.03,I-J,SI2,4.4
0.01,0.03,K-L,SI2,3.1
0.01,0.03,M-N,SI2,2
0.01,0.03,D-F,SI3,4.9
0.01,0.03,G-H,SI3,4.4
0.01,0.03,I-J,SI3,4
0.01,0.03,K-L,SI3,2.8
0.01,0.03,M-N,SI3,1.8
0.01,0.03,D-F,I1,4.3
0.01,0.03,G-H,I1,3.8
0.01,0.03,I-J,I1,3.4
0.01,0.03,K-L,I1,2.5
0.01,0.03,M-N,I1,1.6
0.01,0.03,D-F,I2,3.5
0.01,0.03,G-H,I2,3.1
0.01,0.03,I-J,I2,2.8
0.01,0.03,K-L,I2,2
0.01,0.03,M-N,I2,1.4
0.01,0.03,D-F,I3,2.8
0.01,0.03,G-H,I3,2.6
0.01,0.03,I-J,I3,2.4
0.01,0.03,K-L,I3,1.6
0.01,0.03,M-N,I3,1.2
0.04,0.07,D-F,IF-VVS,9
0.04,0.07,G-H,IF-VVS,7.7
0.04,0.07,I-J,IF-VVS,6.5
0.04,0.07,K-L,IF-VVS,4.7
0.04,0.07,M-N,IF-VVS,3.1
0.04,0.07,D-F,VS,7.9
0.04,0.07,G-H,VS,6.9
0.04,0.07,I-J,VS,5.9
0.04,0.07,K-L,VS,4.2
0.04,0.07,M-N,VS,2.8
0.04,0.07,D-F,SI1,6.8
0.04,0.07,G-H,SI1,6.2
0.04,0.07,I-J,SI1,5.4
0.04,0.07,K-L,SI1,3.8
0.04,0.07,M-N,SI1,2.4
0.04,0.07,D-F,SI2,6
